,location_key,country_name,subregion1_name,latitude,longitude,area_sq_km,population,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,cumulative_hospitalized_patients,cumulative_intensive_care_patients
0,BR,Brazil,Brazil,-14.0,-53.0,8515770.0,212559409.0,34568833.0,685203.0,33706231.0,70923215.0,1204801.0,384172.0
1,BR_AC,Brazil,Acre,-9.047778,-70.526389,152581.0,733559.0,149529.0,2029.0,0.0,230496.0,2721.0,264.0
2,BR_AC_120001,Brazil,Acre,-9.827778,-66.882778,1.0,12538.0,3235.0,40.0,0.0,7760.0,111.0,16.0
3,BR_AC_120005,Brazil,Acre,-10.911389,-69.5825,2.0,6072.0,2156.0,25.0,0.0,4543.0,11.0,4.0
4,BR_AC_120010,Brazil,Acre,-11.01,-68.747778,3.0,21398.0,3956.0,51.0,0.0,9456.0,17.0,6.0
5,BR_AC_120013,Brazil,Acre,-9.830833,-67.951944,3.0,8471.0,1636.0,18.0,0.0,3190.0,20.0,2.0
6,BR_AC_120017,Brazil,Acre,-10.572778,-67.675833,1713.0,8798.0,1190.0,19.0,0.0,1445.0,26.0,1.0
7,BR_AC_120020,Brazil,Acre,-7.630833,-72.67,7924.0,78507.0,15528.0,187.0,0.0,20512.0,245.0,12.0
8,BR_AC_120025,Brazil,Acre,-11.017778,-68.735278,1659.0,15100.0,2128.0,38.0,0.0,5221.0,14.0,5.0
9,BR_AC_120030,Brazil,Acre,-8.163889,-70.353889,24202.0,32412.0,3949.0,69.0,0.0,7164.0,22.0,2.0
10,BR_AC_120032,Brazil,Acre,-9.433889,-71.883889,5428.0,6577.0,728.0,2.0,0.0,2263.0,16.0,1.0
11,BR_AC_120033,Brazil,Acre,-7.613889,-72.895833,4672.0,15206.0,3128.0,37.0,0.0,9778.0,29.0,2.0
12,BR_AC_120034,Brazil,Acre,-8.838889,-69.26,9386.0,7981.0,1121.0,17.0,0.0,2967.0,19.0,1.0
13,BR_AC_120035,Brazil,Acre,-8.940833,-72.791944,7743.0,14227.0,1822.0,14.0,0.0,4082.0,8.0,0.0
14,BR_AC_120038,Brazil,Acre,-10.275833,-67.15,2047.0,17209.0,3581.0,27.0,0.0,5299.0,36.0,6.0
15,BR_AC_120039,Brazil,Acre,-8.268889,-72.743889,6135.0,9176.0,569.0,7.0,0.0,1449.0,6.0,3.0
16,BR_AC_120040,Brazil,Acre,-9.978056,-67.811667,8835.0,336038.0,77879.0,1202.0,0.0,91898.0,1966.0,173.0
17,BR_AC_120042,Brazil,Acre,-7.741944,-72.646944,3304.0,14389.0,1081.0,14.0,0.0,3483.0,12.0,1.0
18,BR_AC_120043,Brazil,Acre,-9.432778,-70.492778,5981.0,4691.0,1187.0,7.0,0.0,2692.0,10.0,1.0
19,BR_AC_120045,Brazil,Acre,-10.1497,-67.73741,1837.0,20179.0,2955.0,44.0,0.0,7605.0,78.0,8.0
20,BR_AC_120050,Brazil,Acre,-9.065833,-68.656944,25278.0,38029.0,8526.0,86.0,0.0,21270.0,63.0,8.0
21,BR_AC_120060,Brazil,Acre,-8.160833,-70.765833,15553.0,35590.0,7046.0,50.0,0.0,9573.0,30.0,5.0
22,BR_AC_120070,Brazil,Acre,-10.651944,-68.503889,5250.0,16091.0,3559.0,33.0,0.0,4648.0,13.0,3.0
